Model,Brand,Date of Sale,Sale Price,Year,Mileage,Classification,Transmission,Fuel Type,Description,Sale Location
Audi A4 Avant (TFSI),Audi,09/02/2024,"€27,410.00",2019,15563,Estate,Automatic,Petrol,Red Audi A435 TFSI Black Edition 5dr S Tronic 2.01 previous owner,Kilkenny
Audi Q3 (S line),Audi,2024-02-10,"€10,447.00",2013,"100,213",SUV,Manual,Diesel,Blue Audi Q32.0 TDI QUATTRO S LINE 5d 138 BHP,Dublin
Audi A4 (S line),Audi,11/02/2024,"€13,231.00",2017,"132,108",Saloon,Automatic,Diesel,Navy Audi A42.0 TDI ultra S line Saloon 4dr Diesel S Tronic Euro 6 (s/s) (190 ps)1 previous owner,Monaghan
Audi A5 (Black Edition Plus),Audi,11/02/2024,"€14,686.00",2016,"98,927",Hatchback,Automatic,Diesel,"Grey Audi A52.0 TDI QUATTRO BLACK EDITION PLUS 5d 187 BHP FSH, like new, 7 seats, 12 months warranty long MOT",Kerry
Audi RS6 Avant (Carbon Black),Audi,14/02/2024,"€94,385.00",2020,"16,843",Estate,Automatic,Petrol,Black Audi RS6RS 6 TFSI Quattro Carbon Black 5dr Tiptronic 4.0,Limerick
Audi A1 (Sport),Audi,15/02/2024,"€14,900.00",2018,"28,029",Hatchback,Automatic,Petrol,Navy Audi A11.0 TFSI Sport Sportback S Tronic Euro 6 (s/s) 5dr (Nav)4 previous owners,Mayo
Audi Q3 (S line Edition),Audi,15/02/2024,"€20,260.00",2017,31739,SUV,Manual,Diesel,Black Audi Q3S line Edition 2.0 TDI 150 PS 6-speed 5dr,Cork
Audi A6 Avant (Black Edition),Audi,15/02/2024,"€20,282.00",2016,"49,899 miles",Estate,Automatic,Diesel,Grey Audi A6AVANT TDI ULTRA BLACK EDITION 2.0 5dr3 previous owners,Kildare
Audi A3 (TFSI),Audi,16/02/2024,"€13,186.00",2014,"52,991",Hatchback,Manual,Petrol,Black Audi A31.4 TFSI S line Sportback Euro 6 (s/s) 5dr2 previous owners,Galway
Audi Q3 (S line Plus),Audi,17/02/2024,"€19,082.00",2016,"45,482",SUV,Automatic,Diesel,Audi Q32.0 TDI S line Plus S Tronic quattro Euro 6 (s/s) 5dr2 previous owners,Cork
Audi A1 (CoD),Audi,18/02/2024,"€ 13,347",2016,"41,727",Hatchback,Manual,Petrol,Navy Audi A11.4 TFSI CoD Black Edition Euro 6 (s/s) 3dr2 previous owners,Cavan
Audi A3 (TDI),Audi,18/02/2024,"€6,629.00",2016,"130,453",Hatchback,Manual,Diesel,Grey Audi A32.0 TDI Sport Sportback Euro 6 (s/s) 5dr (Nav)4 previous owners,Sligo
Audi S4 Avant (TFSI V6),Audi,18/02/2024,"€31,838.00",2017,"27,758",Estate,Automatic,Petrol,Black Audi S4 AVANTS4 Quattro 5dr Tip Tronic 3.0,Galway
Audi Q2 (TFSI),Audi,20/02/2024,"€ 16,954",2019,"39,685",SUV,Manual,Petrol,Navy Audi Q21.0 TFSI SPORT 5d 114 BHP NICE MILES / NEW MOT2 previous owners,Westmeath
Audi A7 (TDI V6),Audi,20/02/2024,"€ 32,384",2018,"65,441",Hatchback,Automatic,Diesel,Navy Audi A750 Tdi Quattro S Line 5Dr Tip Auto 3.01 previous owner,Kildare
Audi A5 (TDI),Audi,20/02/2024,"€13,706.00",2013,"45,517",Coupe,Automatic,Diesel,Black Audi A52.0 TDI S line Multitronic 2dr2 previous owners,Cork
Audi Q3 (CoD),Audi,22/02/2024,"€21,668.00",2018,25865,SUV,Automatic,Petrol,Red Audi Q31.4 TFSI CoD Sport S Tronic Euro 6 (s/s) 5dr1 previous owner,Meath
Audi RS3 (Carbon Black),Audi,22/02/2024,"€65,162.00",2022,"1,342",Saloon,Automatic,Petrol,"Black Audi A32.5 RS 3 TFSI QUATTRO CARBON BLACK 4d 395 BHP 2022 CAR, GREAT SPEC2 previous owners",Cork
Audi RS3 (TFSI),Audi,22/02/2024,"€43,333.00",2020,"9,093",Hatchback,Automatic,Petrol,Navy Audi RS32.5 TFSI Sportback S Tronic quattro Euro 6 (s/s) 5dr2 previous owners,Dublin
Audi A4 Avant (S line Special Edition),Audi,2024-02-22,"€9,222.00",2011,"96,121 miles",Estate,Automatic,Diesel,Navy Audi A4 Avant2.7 TDI S line Special Edition Multitronic 5dr,Waterford
Audi A8 (TDI V6),Audi,22/02/2024,"€21,323.00",2015,46853,Saloon,Automatic,Diesel,Silver Audi A83.0 TDI V6 Sport Executive Saloon 4dr Diesel Tiptronic quattro Euro 6 (s/s) (258 ps)4 previous owners,Dublin
Audi Q7 (TDI V6),Audi,23/02/2024,"€ 45,219",2019,"45,120",SUV,Automatic,Diesel,Navy Audi Q73.0 TDI V6 50 Black Edition Tiptronic quattro Euro 6 (s/s) 5dr2 previous owners,Kilkenny
Audi Q2 (TFSI),Audi,2024-02-26,"€18,989.00",2018,"54,195",SUV,Automatic,Petrol,Blue Audi Q21.4 TFSI CoD S line S Tronic Euro 6 (s/s) 5dr2 previous owners,Cork
Audi A6 Saloon (S line),Audi,2024-02-27,"€19,965.00",2012,"75,054",Saloon,Automatic,Diesel,Audi A6 Saloon3.0 BiTDI V6 S line Tiptronic quattro Euro 5 (s/s) 4dr2 previous owners,Wicklow
Audi A3 (S line),Audi,27/02/2024,"€5,004.00",2009,"102,152",Hatchback,Manual,Diesel,Red Audi A32.0 TDI S line Euro 4 3dr,Limerick
Audi Q7 (Black Edition),Audi,03/03/2024,"€40,162.00",2018,"68,939",SUV,Automatic,Diesel,Blue Audi Q73.0 TDI V6 Black Edition Tiptronic quattro Euro 6 (s/s) 5dr,Dublin
Audi A3 (Edition 1),Audi,03/03/2024,"€33,903.00",2021,"17,610",Hatchback,Auto,Petrol,Silver Audi A3Sportback Edition 1 35 TFSI 150 PS S tronic 1.5 5dr1 previous owner,Cork
Audi A1 (S line),Audi,2024-03-03,"€21,266.00",2019,"10,792",Hatchback,Manual,Petrol,Audi A1 SPORTBACK25 TFSI S Line 5dr 1.02 previous owners,Tipperary
Audi A1 (TFSI),Audi,05/03/2024,"€7,113.00",2011,69303,Hatchback,Manual,Petrol,Blue Audi A11.4 TFSI Sport Euro 5 (s/s) 3dr2 previous owners,Laois
Audi TT (Sport),Audi,05/03/2024,"€ 27,467",2019,"6,812",Coupe,Auto,Petrol,Blue Audi TT Tfsi Sport Coupe2.0 TFSI SPORT 2DR Semi Automatic | KEYLESS START | LOW MILES,Monaghan
Audi A3 Cabriolet (S line),Audi,2024-03-06,"€15,446.00",2015,50422,Convertible,Manual,Diesel,Black Audi A32.0TDi S-LINE CONVERTIBLE 6-SPEED 150 BHP LED DRL + Xenon / Rear Park Assist 2dr,Louth
Audi A1 (TFSI),Audi,2024-03-06,"€7,389.00",2011,"66,374",Hatchback,Manual,Petrol,Navy Audi A11.4 TFSI Sport Euro 5 (s/s) 3dr,Meath
Audi Q5 (S line),Audi,06/03/2024,"€44,235.00",2021,"9,200",SUV,Automatic,Petrol,Black Audi Q5 SPORTBACK45 TFSI Quattro S Line 5dr S Tronic 2.01 previous owner,Dublin
Audi SQ7 (TDI V8),Audi,07/03/2024,"€43,297.00",2017,"59,418",SUV,Automatic,Diesel,"Blue Audi Q74.0 SQ7 TDI QUATTRO 5d 429 BHP Pan sun roof, Bose Sound2 previous owners",Wicklow
Audi A7 (TDI V6),Audi,2024-03-07,"€14,651.00",2013,"61,160",Hatchback,Automatic,Diesel,Audi A7TDI Quattro 204 S Line 5dr S Tronic [5 Seat] 3.0,Roscommon
Audi TT (S line),Audi,07/03/2024,"€10,054.00",2012,"70,047",Convertible,Auto,Petrol,Black Audi TT2.0 TFSI S line Roadster S Tronic Euro 5 (s/s) 2dr4 previous owners,Donegal
Audi A5 (S line),Audi,07/03/2024,"€10,186.00",2012,"97,893",Hatchback,Automatic,Diesel,Red Audi A53.0 TDI 204 S line 5dr Multitronic (NATIONWIDE DELIVERY),Tipperary
Audi A5 (TFSI),Audi,08/03/2024,"€19,900.00",2017,"42,721",Coupe,Manual,Petrol,Black Audi A52.0 TFSI S line Euro 6 (s/s) 2dr3 previous owners,Dublin
Audi A1 (S line Style Edition),Audi,09/03/2024,"€8,319.00",2013,"89,928",Hatchback,Manual,Diesel,Blue Audi A11.6 TDI S LINE STYLE EDITION 3d 103 BHP,Laois
Audi Q3 (Sport),Audi,2024-03-10,"€33,999.00",2021,"10,402",SUV,Automatic,Diesel,Audi Q3Sport 35 TDI quattro 150 PS S tronic 2.0 5dr,Dublin
Audi A5 Cabriolet (TFSI),Audi,11/03/2024,"€15,636.00",2013,"46,009",Convertible,Automatic,Petrol,Audi A5 Cabriolet2.0 TFSI S line Special Edition Multitronic Euro 6 (s/s) 2dr3 previous owners,Dublin
Audi SQ8 (Vorsprung),Audi,14/03/2024,"€78,841.00",2019,"47,064",SUV,Automatic,Diesel,Blue Audi Q8Vorsprung TDI 435 PS tiptronic 4.0 5dr1 previous owner,Dublin
Audi A3 (SE Technik),Audi,16/03/2024,"€12,758.00",2017,"54,599 miles",Hatchback,Manual,Diesel,Grey Audi A3Sportback 1.6 TDI SE Technik (116PS) 5dr2 previous owners,Leitrim
Audi A1 (Sport),Audi,17/03/2024,"€14,875.00",2018,"21,875",Hatchback,Manual,Petrol,Black Audi A1Sport Nav 1.4 TFSI 125 PS 6-speed 3dr1 previous owner,Kildare
Audi RS3 (TFSI),Audi,18/03/2024,"€40,386.00",2018,"47,499",Hatchback,Automatic,Petrol,Blue Audi RS32.5 TFSI Sportback S Tronic quattro Euro 6 (s/s) 5dr,Donegal
Audi TT (Sport),Audi,18/03/2024,"€ 16,664",2018,52996,Coupe,Manual,Petrol,Audi TT1.8T FSI Sport 2dr,Dublin
Audi A3 (TFSI),Audi,19/03/2024,"€ 15,156",2017,18853,Hatchback,Manual,Petrol,Black Audi A31.0 TFSI Sport 5dr,Dublin
Audi Q5 (TFSI),Audi,20/03/2024,"€11,256.00",2012,"118,796 miles",SUV,Manual,Petrol,Grey Audi Q52.0 TFSI QUATTRO S LINE PLUS 5d 178 BHP,Kerry
Audi A1 (TFSI),Audi,20/03/2024,"€12,209.00",2017,"27,560",Hatchback,Manual,Petrol,Black Audi A11L Sport TFSI 3dr,Sligo
Audi A3 (TDI),Audi,22/03/2024,"€11,063.00",2013,"45,898",Hatchback,Manual,Diesel,Blue Audi A32.0 TDI SPORT 3d 148 BHP,Waterford
Audi SQ5 (TFSI V6),Audi,22/03/2024,"€36,001.00",2018,"44,048",SUV,Automatic,Petrol,Black Audi SQ53.0 TFSI quattro 354 PS tiptronic 5dr,Dublin
Audi A3 (TFSI),Audi,24/03/2024,"€5,703.00",2010,"65,491 miles",Hatchback,Automatic,Petrol,Audi A3TFSI SPORT 1.4 5dr,Offaly
Audi A3 (TDI),Audi,25/03/2024,"€9,986.00",2016,"92,391 miles",Saloon,Manual,Diesel,Red Audi A31.6 TDI SPORT NAV 4d 109 BHP ++DAB RADIO++CAMBELT DONE++,Wicklow
Audi A6 Saloon (S line),Audi,25/03/2024,"€26,358.00",2018,"65,389",Saloon,Automatic,Diesel,Red Audi A6 Saloon3.0 TDI V6 50 S line Tiptronic quattro Euro 6 (s/s) 4dr,Galway
Audi E-Tron (Vorsprung),Audi,25/03/2024,"€ 87,413",2022,"2,140",SUV,Automatic,Electric,Audi E-Tron55 Vorsprung Auto quattro 5dr 95kWh (11kW Charger)1 previous owner,Dublin
Audi A4 Cabriolet (Sport),Audi,25/03/2024,"€2,031.00",2008,"134,006 miles",Convertible,Manual,Diesel,Silver Audi A4 Cabriolet2.0 TDI Sport 2dr,Wicklow
Audi Q8 (Vorsprung),Audi,26/03/2024,"€64,483.00",2019,"22,648",SUV,Automatic,Diesel,Black Audi Q8Q8 Vorsprung 50 TDI quattro 286 PS tiptronic 3.0 5dr,Dublin
Audi A8 (S line),Audi,28/03/2024,"€34,790.00",2019,"48,163",Saloon,Auto,Diesel,Navy Audi A83.0 TDI V6 50 S line Tiptronic quattro Euro 6 (s/s) 4dr,Wicklow
Audi TT (Sport),Audi,28/03/2024,"€23,378.00",2018,"21,030",Coupe,Automatic,Petrol,Navy Audi TTCoup- Sport 2.0 TFSI quattro 230 PS S tronic 3dr,Cork
Audi A6 Saloon (TDI V6),Audi,29/03/2024,"€9,269.00",2010,"73,312",Saloon,Automatic,Diesel,Silver Audi A6 Saloon3.0 TDI V6 Le Mans Tiptronic quattro Euro 5 4dr,Galway
Audi Q5 (S line),Audi,29/03/2024,"€31,030.00",2018,"36,285",SUV,Automatic,Petrol,Red Audi Q5S line 2.0 TFSI quattro 252 PS S tronic 5dr1 previous owner,Roscommon
Audi S3 (TFSI),Audi,31/03/2024,"€30,412.00",2017,40838,Hatchback,Automatic,Petrol,Blue Audi S32.0 S3 SPORTBACK TFSI QUATTRO BLACK EDITION 5d 306 BHP BLACK EDITION+SUPER SPORT SEATS,Cork
Audi A1 (S line),Audi,31/03/2024,"€19,280.00",2019,"28,902",Hatchback,Manual,Petrol,Blue Audi A130 TFSI S Line 5dr 1.0,Wexford
Audi A1 (S line),Audi,01/04/2024,"€19,504.00",2019,"15,311",Hatchback,Manual,Petrol,Silver Audi A11.0 TFSI 30 S line Sportback Euro 6 (s/s) 5dr,Limerick
Audi Q5 (TDI),Audi,01/04/2024,"€8,267.00",2009,"100,920",SUV,Manual,Diesel,Black Audi Q52.0 TDI QUATTRO DPF S LINE 5d 168 BHP 12 MONTH MOT,Dublin
Audi A3 (S line),Audi,03/04/2024,"€4,780.00",2011,"117,500",Hatchback,Manual,Diesel,Blue Audi A32.0 TDI S line Euro 5 (s/s) 3dr4 previous owners,Dublin
Audi A5 (TDI),Audi,04/04/2024,"€ 11,437",2013,"89,106",Coupe,Auto,Diesel,Navy Audi A52.0 TDI Black Edition Multitronic 2dr3 previous owners,Dublin
Audi Q2 (Technik),Audi,05/04/2024,"€20,153.00",2021,"17,158",SUV,Manual,Petrol,Red Audi Q21.0 TFSI TECHNIK 5d 109 BHP Parking Sensors-Cruise Control1 previous owner,Kilkenny
Audi A4 (TFSI),Audi,06/04/2024,"€14,941.00",2014,"43,082",Saloon,Automatic,Petrol,Red Audi A42.0 TFSI S line S Tronic quattro 4dr2 previous owners,Cork
Audi R8 (FSI V8),Audi,06/04/2024,"€ 37,245",2008,"81,704",Coupe,Manual,Petrol,Blue Audi R8QUATTRO 4.2 2dr,Dublin
Audi S5 (TFSI V6),Audi,06/04/2024,"€29,308.00",2017,"25,462",Coupe,Automatic,Petrol,Blue Audi S53.0 TFSI V6 Tiptronic quattro (s/s) 2dr,Dublin
Audi Q7 (TFSI V6),Audi,2024-04-09,"€64,229.00",2021,"4,986",SUV,Automatic,Petrol,"Black Audi Q755 TFSI QUATTRO S LINE BLACK EDITION 5dr 336 BHP Space, Power, Presence 3.01 previous owner",Clare
Audi A8 (SE Executive),Audi,10/04/2024,"€14,658.00",2014,78205,Saloon,Automatic,Diesel,Red Audi A83.0 TDI V6 SE Executive Tiptronic quattro Euro 6 (s/s) 4dr5 previous owners,Dublin
Audi A8 (Executive SE),Audi,2024-04-10,"€8,743.00",2010,146129,Saloon,Automatic,Diesel,Grey Audi A84.2 TDI V8 Executive SE Tiptronic quattro 4dr,Westmeath
Audi A5 (S line),Audi,10/04/2024,"€21,975.00",2017,"58,334",Coupe,Automatic,Diesel,Black Audi A53.0 TDI V6 S line S Tronic quattro Euro 6 (s/s) 2dr2 previous owners,Louth
Audi A1 (Sport),Audi,12/04/2024,"€ 13,876",2018,"28,773",Hatchback,Manual,Petrol,Grey Audi A11.0 TFSI GPF Sport Hatchback 3dr Petrol Euro 6 (s/s) (Nav) (95 ps)1 previous owner,Meath
Audi Q3 (TFSI),Audi,13/04/2024,"€12,818.00",2014,"72,687",SUV,Manual,Petrol,Black Audi Q3SE 1.4 TFSI 150 PS 6 speed 5dr,Dublin
Audi A3 (TFSI),Audi,13/04/2024,"€6,203.00",2010,"88,040",Hatchback,Manual,Petrol,Red Audi A31.8 TFSI S line Euro 5 3dr,Limerick
Audi Q3 (TFSI),Audi,13/04/2024,"€23,340.00",2017,"38,342",SUV,Automatic,Petrol,Red Audi Q32.0 TFSI QUATTRO BLACK EDITION 5d 178 BHP ** FULL HISTORY ** 19inch ALLOYS **2 previous owners,Dublin
Audi A4 Avant (TDI),Audi,13/04/2024,"€21,519.00",2017,"37,884",Estate,Automatic,Diesel,Grey Audi A4 Avant2L S line ultra TDI 5dr,Kildare
Audi RS5 (Nogaro Edition),Audi,14/04/2024,"€74,211.00",2021,"3,173",Coupe,Automatic,Petrol,Blue Audi RS52.9 TFSI V6 Nogaro Edition Tiptronic quattro Euro 6 (s/s) 2dr1 previous owner,Kilkenny
Audi TT (TFSI),Audi,2024-04-14,"€14,293.00",2012,"39,029 miles",Coupe,Automatic,Petrol,Blue Audi TT2.0 TFSI Black Edition S Tronic quattro 3dr,Dublin
Audi A4 Avant (SE),Audi,14/04/2024,"€9,341.00",2016,"124,613",Estate,Manual,Diesel,Blue Audi A4 Avant2.0 TDI ultra SE Euro 6 (s/s) 5dr1 previous owner,Limerick
Audi Q7 (S line Plus),Audi,15/04/2024,"€13,129.00",2012,"84,450",SUV,Automatic,Diesel,Audi Q73.0 TDI V6 S line Plus Tiptronic quattro Euro 5 (s/s) 5dr3 previous owners,Cork
Audi TT (TDI),Audi,15/04/2024,"€ 7,900",2010,"88,120",Coupe,Manual,Diesel,Black Audi TT2.0 TDI Sport Coupe 3dr Diesel Manual quattro Euro 5 (170 ps)3 previous owners,Kildare
Audi E-Tron (Technik),Audi,18/04/2024,"€44,195.00",2020,"13,531",SUV,Automatic,Electric,Blue Audi E-Tron230kW 50 Quattro 71kWh Technik 5dr Auto,Wexford
Audi A3 Cabriolet (S line),Audi,22/04/2024,"€24,656.00",2018,"20,736",Convertible,Automatic,Petrol,Grey Audi A3Cabriolet S line 35 TFSI 150 PS S tronic 1.5 2dr1 previous owner,Meath
Audi TT (Sport),Audi,23/04/2024,"€20,078.00",2018,"21,574",Coupe,Manual,Petrol,Red Audi TT2.0T FSI Sport 2dr2 previous owners,Dublin
Audi Q5 (TFSIe),Audi,23/04/2024,"€47,483.00",2021,"21,947",SUV,Automatic,Petrol Plug-In Hybrid,Red Audi Q52.0 TFSIe 50 S line S Tronic quattro Euro 6 (s/s) 5dr 17.9kWh1 previous owner,Dublin
